ami,english,source,kindOf,dialect
hay,yes,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
caciyaw,language,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'icel,strength,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patosokan,target,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
serangawan,culture,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
epoc,meaning,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pakayif,get married,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kahirahira,various,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'aca,price,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
sapimaan,purpose,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
raramod,marriage,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
apac,late,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'edef,close,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
paliwal,sell,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tayra,go,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fohat,open,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tahidang,come here,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'aca,buy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
feli,give,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tayni,come,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
caliw,lend,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
rakat,walk,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
liyas,go (away),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
efer,fly,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cikayen,run (imperatives),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tahira,arrival,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patono,see a visitor out,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
laliw,flee,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
comod,enter,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tapolong,overturn,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
hawikid,bring,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
laplap,get rid of...,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tikol,turn back,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lahad,growth,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
paliyas,get out of the way,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patelong,present,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mililis to tokos,along the mountains,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
rasras,drop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cokacok,uphill,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
militemoh,call for,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lakec,crossing the stream,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
saeli,ask,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
taktak,pour,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pasayra,go,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lalad,climb,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
sarakarakat,take a stroll,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lepel,chase after,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
takop,catch up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pedoc,slip off,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lacinowas,separate,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
hawikid,carry (e.g. with umbrella),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ca'edong,put on (e.g. cloth),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cikafong,wear (e.g. hat),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
sadak,appear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
aro',sitting,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tomireng,standing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'edef,"shut (e.g. door,window)",FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tatayni,coming,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
natayniay to,have been here before,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
natayraay to,gone,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
nafoy,crawl,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
nengneng han,look like...,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
liso',visit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
masadak,go out,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
takod/ teloc,jump,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
makero,dance,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
maro',sit down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
loho,bend over,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ca'it,hang,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
salama,play (e.g. ball),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ala,pick up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
seti',punch (e.g. people),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pacok,sting,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mikowang,shoot,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tolo',stumble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tenok,kick,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
coloh,push,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
letek,felled,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ngiyangi,shake,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pitek,break,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mirmir,tremble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
koskos,scratch itching,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kocakoc/kodakod,climb,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
wakang,lie down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fafa,carry (somebody),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pelpel,smash to pieces,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tamolong,carry on one’s shoulder,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
wadwad,flip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
walin,roll down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
sontol,bump into,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
afofo,hold,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
iyof,blow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
korkor,dig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cikcik,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
dangoy,swim,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
himed,hide,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cepet,catch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
letek,chop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fafa,carry (something),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pakilac,divide,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pela',cut open,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
so'ot,tie it up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tengteng,pull,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pela',split,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
keton,rip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tatoy,draw (a bow),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
metmet,hold it,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
falod,bundle,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
leken,hold down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fa'enot,pull out,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pili',select,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
folesak,spill,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
toltol,peck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
coenek,plug,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
taring,pile up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
colo',move,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fa'enot,pluck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tiyol,stirring,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'enec,hold it down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
koskos,scratch and itch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
metmet,make a fist,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pitpit,pluck,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ngoyangoy,shaking,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
foheci,peel (peanuts; beans),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lakec,wade across the water,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ngernger,vibrate,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tafo,packing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
litod,harvest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
renac,sharpen,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ngiyangi,swing,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lepel,hunt and capture,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pelpel,shatter,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
wakang,fall,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
liyoc,twist,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patireng,stand,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ripa',trample on,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
hawang,cross over,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kerit,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
imec,pinch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
piepi,repress,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pariri',feed,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cepet,arrest,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kowad,pry open,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ripa',step,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pasakohepic,squash,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
litolak,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
renaf,rub (e.g. lipstick; paint),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
wadwad,flipping,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ricaric,tumble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cingray,lean on,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pacpac,whip,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tokinil,lie on the side,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kelac,skin,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mika'erid,twisting,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kalatim,cut,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tepoc,cut off,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
wangawang,wave,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tonton,chop (meat),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
talik,beat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
'odot,fight,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
coeco,squeeze,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ocekoy,lower your head down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tengteng,pull (up),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
korkor,dig,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
podac,peeling the bark of a tree,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
conga,draw,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
simaanay/patelas,arbitrary,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
roho,squat down,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tomireng,stand up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kaen,eat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
helip,suck in,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
minanom,drink,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ota',vomit,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kalat,bite,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
enoc,swallow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ta'emod,swallow,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cedet,get burnt,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
si'ed,choke (on),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fecol,full,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kemkem,chew,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
so'aw,thirsty,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
ngitngit,nibble,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cahiw,hungry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kaen,eat,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
maranam,have breakfast,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
malahok,have lunch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
malafi,have dinner,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
malitemoh,come across,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
fana',know,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
nengneng,see,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
sowal,say,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tawalen,forget (imperatives),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kepit,close (your) eyes,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
hanek,smell (as in smell),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
kapkap,touch,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tahidang,invite,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pasowal,tell,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
iyoy,calling (e.g. calling before feeding the chickens),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
licay,ask,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mihayda,agree,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pakaso'elin,believe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
po'i,curse,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tefing,touch (as in touching the body),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pacako,respond,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tengil,listen,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
nacnac,lick,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patolon,tell,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cengaw,open your eyes,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
patosek,aim,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pakafana',teach (e.g. teaching someone to write),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
haratengen,think,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
nengneng,observe,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mafana',do,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tolon,pray,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
olah,like,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
olah,joy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
talaw,fear,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tangic,cry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
olah,love,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
hemek,happy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
keter,angry,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
dimokos,love and care,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
cekok,shocked,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lipahak,happy,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
solimet,sort out,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
faca',wash (cloth),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
tayal,work,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
pasela',stop,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
saloya',waste,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
lomowad,get up,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
arayom,good-bye (say good-bye to each other),FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
maisi',urinate,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
foti',sleep,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
mipacok,killing animals,FormosanBank/Corpora/ePark/XML/ep2_學習詞表/Amis/Malan_Amis.xml,standard,Malan
